"Community","Perspective_Profanity","probability_of_user_finding_comment_sexist"
"B",0.61,0.539554800569353
"B",0.62,0.542923299604992
"B",0.63,0.546287877949732
"B",0.64,0.54964823339072
"B",0.65,0.553004065249385
"B",0.66,0.55635507448746
"B",0.67,0.559700963811745
"B",0.68,0.563041437777547
"B",0.69,0.566376202890699
"B",0.7,0.569704967708104
"B",0.71,0.573027442936731
"B",0.72,0.57634334153098
"B",0.73,0.579652378788369
"B",0.74,0.58295427244346
"B",0.75,0.586248742759977
"B",0.76,0.589535512621042
"B",0.77,0.592814307617481
"B",0.78,0.596084856134142
"B",0.79,0.599346889434169
"B",0.8,0.602600141741184
"B",0.81,0.605844350319329
"B",0.82,0.609079255551121
"B",0.83,0.612304601013082
"B",0.84,0.615520133549097
"B",0.85,0.618725603341463
"B",0.86,0.621920763979609
"B",0.87,0.625105372526429
"B",0.88,0.628279189582223
"B",0.89,0.631441979346207
"B",0.9,0.634593509675567
"B",0.91,0.637733552142045
"B",0.92,0.640861882086033
"B",0.93,0.643978278668156
"B",0.94,0.64708252491834
"B",0.95,0.650174407782345
"B",0.96,0.653253718165767
"B",0.97,0.656320250975489
"B",0.98,0.659373805158594
"B",0.99,0.662414183738733
